Animal,Symptom 2,Temperature,Symptom 3,Age,Symptom 1,Disease
buffalo,shortness of breath,102.8,swelling in neck,7.0,chest discomfort,anthrax
sheep,depression,100.3,painless lumps,1.0,loss of appetite,pneumonia
cow,loss of appetite,102.0,depression,14.0,painless lumps,lumpy virus
cow,sores on hooves,101.8,loss of appetite,2.0,difficulty walking,foot and mouth
sheep,fatigue,100.1,swelling in neck,5.0,chest discomfort,anthrax
buffalo,depression,100.0,painless lumps,10.0,loss of appetite,lumpy virus
goat,lameness,100.4,swelling in muscle,7.0,depression,blackleg
cow,sweats,102.2,shortness of breath,12.0,fatigue,anthrax
cow,swelling in abdomen,102.9,chest discomfort,12.0,fatigue,anthrax
sheep,loss of appetite,102.4,difficulty walking,1.0,blisters on mouth,foot and mouth
sheep,painless lumps,101.7,loss of appetite,9.0,depression,pneumonia
goat,painless lumps,101.9,loss of appetite,6.0,depression,lumpy virus
sheep,painless lumps,100.3,loss of appetite,9.0,depression,lumpy virus
sheep,fatigue,103.0,chest discomfort,10.0,sweats,anthrax
goat,loss of appetite,100.1,lameness,6.0,blisters on hooves,foot and mouth
cow,swelling in muscle,102.4,depression,6.0,lameness,blackleg
cow,depression,104.4,painless lumps,10.0,loss of appetite,lumpy virus
sheep,chest discomfort,104.4,chills,10.0,swelling in extremities,anthrax
cow,crackling sound,104.8,lameness,14.0,loss of appetite,blackleg
sheep,painless lumps,100.4,loss of appetite,8.0,depression,lumpy virus
buffalo,loss of appetite,101.2,sores on tongue,13.0,lameness,foot and mouth
buffalo,lameness,102.3,loss of appetite,1.0,sores on gums,foot and mouth
goat,loss of appetite,103.4,depression,3.0,painless lumps,pneumonia
cow,depression,101.9,crackling sound,11.0,difficulty walking,blackleg
sheep,depression,101.3,painless lumps,3.0,loss of appetite,lumpy virus
buffalo,painless lumps,100.4,depression,15.0,loss of appetite,pneumonia
sheep,chills,102.0,shortness of breath,2.0,swelling in abdomen,anthrax
sheep,blisters on gums,103.7,lameness,2.0,loss of appetite,foot and mouth
buffalo,sweats,102.1,chills,3.0,fatigue,anthrax
cow,loss of appetite,104.6,blisters on hooves,10.0,difficulty walking,foot and mouth
cow,sweats,101.4,chills,3.0,shortness of breath,anthrax
buffalo,depression,102.9,painless lumps,2.0,loss of appetite,lumpy virus
goat,shortness of breath,101.4,chills,3.0,fatigue,anthrax
cow,chest discomfort,102.8,fatigue,1.0,sweats,anthrax
goat,shortness of breath,101.5,swelling in abdomen,4.0,fatigue,anthrax
cow,loss of appetite,102.4,depression,1.0,crackling sound,blackleg
goat,depression,102.5,loss of appetite,5.0,painless lumps,lumpy virus
cow,sweats,104.5,chills,15.0,chest discomfort,anthrax
goat,depression,102.4,painless lumps,8.0,loss of appetite,pneumonia
cow,depression,100.8,loss of appetite,7.0,crackling sound,blackleg
goat,sweats,102.1,chills,7.0,chest discomfort,anthrax
goat,fatigue,104.3,chest discomfort,8.0,swelling in extremities,anthrax
goat,painless lumps,103.9,depression,6.0,loss of appetite,pneumonia
cow,swelling in neck,102.2,chills,11.0,chest discomfort,anthrax
goat,painless lumps,102.3,depression,5.0,loss of appetite,lumpy virus
sheep,lameness,100.8,crackling sound,8.0,depression,blackleg
sheep,lameness,104.2,loss of appetite,8.0,sores on hooves,foot and mouth
buffalo,painless lumps,102.2,loss of appetite,13.0,depression,pneumonia
cow,loss of appetite,102.2,depression,14.0,painless lumps,pneumonia
cow,loss of appetite,101.5,lameness,1.0,blisters on tongue,foot and mouth
goat,loss of appetite,100.4,depression,7.0,painless lumps,pneumonia
goat,shortness of breath,102.0,chills,7.0,sweats,anthrax
sheep,loss of appetite,100.2,depression,2.0,painless lumps,lumpy virus
goat,painless lumps,100.5,loss of appetite,6.0,depression,lumpy virus
goat,chills,102.4,swelling in neck,5.0,fatigue,anthrax
cow,chills,100.1,swelling in abdomen,1.0,sweats,anthrax
cow,swelling in limb,101.1,crackling sound,9.0,loss of appetite,blackleg
buffalo,loss of appetite,104.2,depression,15.0,painless lumps,pneumonia
sheep,depression,101.9,loss of appetite,4.0,painless lumps,pneumonia
sheep,blisters on hooves,104.5,lameness,9.0,loss of appetite,foot and mouth
buffalo,sweats,102.2,chills,1.0,shortness of breath,anthrax
buffalo,lameness,103.0,loss of appetite,1.0,blisters on mouth,foot and mouth
buffalo,swelling in extremities,103.7,chest discomfort,11.0,shortness of breath,anthrax
sheep,loss of appetite,102.8,depression,8.0,difficulty walking,blackleg
cow,depression,101.2,loss of appetite,10.0,painless lumps,pneumonia
buffalo,painless lumps,103.7,depression,7.0,loss of appetite,pneumonia
goat,sweats,102.0,swelling in neck,6.0,fatigue,anthrax
buffalo,sores on hooves,103.5,loss of appetite,4.0,difficulty walking,foot and mouth
sheep,lameness,101.9,loss of appetite,6.0,blisters on tongue,foot and mouth
cow,difficulty walking,102.4,loss of appetite,7.0,blisters on hooves,foot and mouth
sheep,sores on hooves,104.3,loss of appetite,9.0,lameness,foot and mouth
goat,sweats,100.4,fatigue,8.0,swelling in neck,anthrax
cow,loss of appetite,102.1,depression,3.0,painless lumps,pneumonia
buffalo,loss of appetite,104.8,depression,11.0,painless lumps,lumpy virus
buffalo,painless lumps,102.4,loss of appetite,6.0,depression,lumpy virus
goat,chest discomfort,103.8,fatigue,9.0,sweats,anthrax
buffalo,loss of appetite,101.2,depression,1.0,painless lumps,pneumonia
cow,difficulty walking,102.3,blisters on mouth,10.0,loss of appetite,foot and mouth
sheep,blisters on hooves,100.8,loss of appetite,8.0,difficulty walking,foot and mouth
cow,loss of appetite,102.8,depression,1.0,painless lumps,pneumonia
goat,lameness,100.8,blisters on mouth,1.0,loss of appetite,foot and mouth
cow,loss of appetite,100.6,depression,3.0,crackling sound,blackleg
goat,lameness,104.2,loss of appetite,6.0,blisters on mouth,foot and mouth
sheep,depression,103.7,loss of appetite,8.0,painless lumps,pneumonia
cow,loss of appetite,104.0,sores on mouth,13.0,lameness,foot and mouth
cow,depression,102.2,lameness,8.0,swelling in muscle,blackleg
goat,loss of appetite,100.3,lameness,10.0,swelling in limb,blackleg
goat,lameness,102.2,loss of appetite,5.0,depression,blackleg
cow,depression,104.1,loss of appetite,13.0,painless lumps,pneumonia
goat,loss of appetite,104.3,difficulty walking,8.0,sores on mouth,foot and mouth
cow,sores on hooves,101.6,lameness,9.0,loss of appetite,foot and mouth
buffalo,difficulty walking,100.2,sores on tongue,1.0,loss of appetite,foot and mouth
buffalo,depression,100.0,painless lumps,4.0,loss of appetite,pneumonia
sheep,loss of appetite,102.4,difficulty walking,9.0,sores on tongue,foot and mouth
goat,difficulty walking,102.0,loss of appetite,1.0,blisters on tongue,foot and mouth
buffalo,shortness of breath,102.7,swelling in neck,11.0,fatigue,anthrax
sheep,chest discomfort,101.4,fatigue,3.0,chills,anthrax
cow,loss of appetite,100.1,painless lumps,7.0,depression,lumpy virus
sheep,fatigue,102.6,swelling in extremities,6.0,sweats,anthrax
goat,depression,100.8,loss of appetite,8.0,painless lumps,pneumonia
buffalo,loss of appetite,101.1,swelling in limb,14.0,depression,blackleg
sheep,loss of appetite,101.9,depression,10.0,painless lumps,pneumonia
buffalo,loss of appetite,101.7,depression,1.0,lameness,blackleg
cow,lameness,104.2,crackling sound,3.0,loss of appetite,blackleg
sheep,swelling in limb,101.3,crackling sound,5.0,lameness,blackleg
goat,depression,102.8,loss of appetite,7.0,painless lumps,lumpy virus
buffalo,painless lumps,102.7,loss of appetite,7.0,depression,lumpy virus
sheep,depression,102.3,crackling sound,4.0,loss of appetite,blackleg
sheep,fatigue,104.2,swelling in neck,10.0,shortness of breath,anthrax
buffalo,crackling sound,102.0,swelling in muscle,14.0,depression,blackleg
buffalo,depression,104.3,painless lumps,6.0,loss of appetite,lumpy virus
sheep,loss of appetite,103.7,depression,9.0,painless lumps,pneumonia
sheep,crackling sound,100.4,swelling in limb,3.0,loss of appetite,blackleg
buffalo,lameness,103.9,loss of appetite,6.0,sores on tongue,foot and mouth
sheep,crackling sound,100.7,loss of appetite,3.0,swelling in limb,blackleg
sheep,depression,101.2,difficulty walking,3.0,swelling in limb,blackleg
sheep,sweats,102.9,chest discomfort,2.0,fatigue,anthrax
cow,painless lumps,102.7,depression,13.0,loss of appetite,pneumonia
sheep,painless lumps,103.5,loss of appetite,8.0,depression,lumpy virus
goat,difficulty walking,102.1,crackling sound,9.0,depression,blackleg
buffalo,shortness of breath,101.2,fatigue,6.0,swelling in abdomen,anthrax
goat,sores on hooves,103.9,loss of appetite,2.0,lameness,foot and mouth
sheep,painless lumps,104.1,depression,7.0,loss of appetite,lumpy virus
sheep,painless lumps,102.8,depression,10.0,loss of appetite,lumpy virus
cow,painless lumps,104.1,loss of appetite,1.0,depression,lumpy virus
goat,loss of appetite,103.6,difficulty walking,1.0,sores on gums,foot and mouth
buffalo,loss of appetite,104.2,depression,12.0,painless lumps,pneumonia
sheep,chest discomfort,105.0,sweats,10.0,fatigue,anthrax
sheep,loss of appetite,104.6,painless lumps,1.0,depression,lumpy virus
sheep,depression,104.5,loss of appetite,2.0,painless lumps,lumpy virus
cow,depression,101.8,painless lumps,14.0,loss of appetite,lumpy virus
sheep,depression,103.1,painless lumps,10.0,loss of appetite,pneumonia
buffalo,painless lumps,101.9,depression,8.0,loss of appetite,lumpy virus
goat,loss of appetite,100.2,painless lumps,8.0,depression,lumpy virus
buffalo,sweats,100.4,shortness of breath,9.0,chills,anthrax
goat,depression,102.0,swelling in muscle,3.0,loss of appetite,blackleg
sheep,depression,103.9,painless lumps,4.0,loss of appetite,lumpy virus
buffalo,depression,101.1,loss of appetite,8.0,painless lumps,pneumonia
cow,depression,101.0,painless lumps,13.0,loss of appetite,lumpy virus
goat,swelling in extremities,101.5,sweats,8.0,chest discomfort,anthrax
sheep,blisters on gums,101.5,lameness,1.0,loss of appetite,foot and mouth
cow,loss of appetite,102.0,swelling in limb,14.0,depression,blackleg
cow,sweats,100.9,fatigue,12.0,shortness of breath,anthrax
buffalo,loss of appetite,102.3,difficulty walking,12.0,sores on tongue,foot and mouth
goat,depression,102.0,loss of appetite,6.0,painless lumps,pneumonia
buffalo,blisters on hooves,101.4,difficulty walking,13.0,loss of appetite,foot and mouth
sheep,shortness of breath,104.1,chills,9.0,fatigue,anthrax
buffalo,painless lumps,101.8,depression,8.0,loss of appetite,lumpy virus
sheep,chills,102.1,shortness of breath,4.0,sweats,anthrax
goat,painless lumps,103.8,loss of appetite,9.0,depression,pneumonia
buffalo,fatigue,103.7,sweats,11.0,shortness of breath,anthrax
goat,shortness of breath,100.6,fatigue,3.0,chills,anthrax
goat,crackling sound,101.9,difficulty walking,5.0,swelling in muscle,blackleg
cow,depression,103.2,loss of appetite,13.0,painless lumps,lumpy virus
buffalo,chills,102.5,sweats,11.0,fatigue,anthrax
cow,chills,100.3,sweats,4.0,chest discomfort,anthrax
sheep,depression,104.2,painless lumps,2.0,loss of appetite,pneumonia
sheep,difficulty walking,101.4,blisters on gums,2.0,loss of appetite,foot and mouth
buffalo,fatigue,103.8,shortness of breath,3.0,chills,anthrax
goat,difficulty walking,104.0,loss of appetite,10.0,depression,blackleg
buffalo,sores on gums,100.4,loss of appetite,3.0,difficulty walking,foot and mouth
cow,painless lumps,103.8,depression,8.0,loss of appetite,pneumonia
cow,painless lumps,100.8,depression,14.0,loss of appetite,lumpy virus
goat,depression,101.9,loss of appetite,8.0,painless lumps,pneumonia
cow,loss of appetite,101.1,swelling in muscle,8.0,lameness,blackleg
buffalo,painless lumps,102.6,loss of appetite,5.0,depression,lumpy virus
goat,loss of appetite,103.3,painless lumps,10.0,depression,lumpy virus
sheep,loss of appetite,100.7,depression,3.0,painless lumps,lumpy virus
sheep,lameness,101.4,loss of appetite,4.0,swelling in limb,blackleg
sheep,loss of appetite,100.3,painless lumps,3.0,depression,pneumonia
goat,lameness,101.1,loss of appetite,3.0,sores on gums,foot and mouth
buffalo,painless lumps,102.4,loss of appetite,15.0,depression,lumpy virus
cow,sweats,103.8,chest discomfort,2.0,shortness of breath,anthrax
buffalo,depression,103.4,loss of appetite,3.0,crackling sound,blackleg
buffalo,difficulty walking,100.6,loss of appetite,1.0,blisters on tongue,foot and mouth
goat,loss of appetite,101.8,depression,2.0,painless lumps,pneumonia
cow,chest discomfort,101.7,sweats,3.0,fatigue,anthrax
buffalo,swelling in limb,103.3,depression,5.0,crackling sound,blackleg
cow,painless lumps,103.7,depression,5.0,loss of appetite,lumpy virus
sheep,shortness of breath,104.3,chest discomfort,10.0,chills,anthrax
cow,shortness of breath,103.2,chills,10.0,fatigue,anthrax
cow,painless lumps,103.0,depression,3.0,loss of appetite,lumpy virus
goat,loss of appetite,101.3,lameness,1.0,swelling in muscle,blackleg
goat,lameness,104.9,swelling in limb,6.0,loss of appetite,blackleg
cow,crackling sound,100.1,swelling in muscle,4.0,depression,blackleg
buffalo,chills,103.4,fatigue,14.0,sweats,anthrax
goat,chills,104.4,chest discomfort,10.0,fatigue,anthrax
buffalo,loss of appetite,102.7,difficulty walking,13.0,blisters on tongue,foot and mouth
goat,crackling sound,104.8,depression,4.0,lameness,blackleg
cow,lameness,100.0,loss of appetite,12.0,blisters on mouth,foot and mouth
goat,lameness,104.2,sores on tongue,10.0,loss of appetite,foot and mouth
cow,loss of appetite,101.2,painless lumps,8.0,depression,lumpy virus
cow,depression,102.4,painless lumps,4.0,loss of appetite,lumpy virus
buffalo,depression,102.4,crackling sound,10.0,loss of appetite,blackleg
sheep,depression,100.3,painless lumps,1.0,loss of appetite,lumpy virus
goat,loss of appetite,102.6,depression,5.0,painless lumps,lumpy virus
goat,swelling in muscle,101.3,difficulty walking,10.0,crackling sound,blackleg
sheep,loss of appetite,103.3,painless lumps,2.0,depression,lumpy virus
sheep,swelling in abdomen,102.2,sweats,6.0,fatigue,anthrax
sheep,loss of appetite,104.6,depression,3.0,painless lumps,pneumonia
goat,depression,101.4,loss of appetite,9.0,painless lumps,pneumonia
buffalo,swelling in limb,100.2,loss of appetite,7.0,difficulty walking,blackleg
cow,painless lumps,102.3,loss of appetite,2.0,depression,pneumonia
buffalo,sores on mouth,102.5,loss of appetite,11.0,lameness,foot and mouth
buffalo,sweats,104.9,swelling in abdomen,5.0,fatigue,anthrax
sheep,loss of appetite,102.1,painless lumps,10.0,depression,pneumonia
cow,loss of appetite,101.4,difficulty walking,14.0,blisters on hooves,foot and mouth
buffalo,loss of appetite,101.6,painless lumps,8.0,depression,lumpy virus
sheep,depression,104.6,loss of appetite,1.0,painless lumps,pneumonia
cow,painless lumps,100.3,loss of appetite,14.0,depression,pneumonia
cow,painless lumps,101.6,depression,2.0,loss of appetite,pneumonia
goat,painless lumps,104.7,loss of appetite,8.0,depression,pneumonia
sheep,fatigue,101.0,shortness of breath,7.0,chills,anthrax
goat,painless lumps,101.9,depression,3.0,loss of appetite,pneumonia
cow,chest discomfort,102.8,shortness of breath,10.0,swelling in neck,anthrax
buffalo,fatigue,102.8,sweats,7.0,shortness of breath,anthrax
buffalo,loss of appetite,102.5,difficulty walking,9.0,crackling sound,blackleg
sheep,depression,101.1,painless lumps,4.0,loss of appetite,pneumonia
cow,depression,100.9,swelling in muscle,4.0,difficulty walking,blackleg
goat,loss of appetite,100.2,lameness,6.0,blisters on mouth,foot and mouth
sheep,swelling in neck,101.1,chest discomfort,1.0,shortness of breath,anthrax
cow,loss of appetite,100.9,swelling in muscle,6.0,difficulty walking,blackleg
cow,loss of appetite,104.5,painless lumps,7.0,depression,pneumonia
goat,crackling sound,100.6,difficulty walking,5.0,swelling in limb,blackleg
sheep,loss of appetite,101.7,lameness,9.0,sores on hooves,foot and mouth
buffalo,painless lumps,104.3,loss of appetite,13.0,depression,lumpy virus
cow,crackling sound,104.8,swelling in muscle,4.0,depression,blackleg
buffalo,swelling in neck,100.1,shortness of breath,5.0,chills,anthrax
sheep,difficulty walking,101.4,loss of appetite,9.0,blisters on gums,foot and mouth
cow,painless lumps,104.5,depression,2.0,loss of appetite,lumpy virus
